# MLB Redraft Categories Rankings
# FantasyPros - ECR 
# 4/1/2025
Rank,Player
1,Bobby Witt Jr.
2,Shohei Ohtani
3,Aaron Judge
4,Jose Ramirez
5,Elly De La Cruz
6,Juan Soto
7,Kyle Tucker
8,Corbin Carroll
9,Fernando Tatis Jr.
10,Gunnar Henderson
11,Francisco Lindor
12,Vladimir Guerrero Jr.
13,Mookie Betts
14,Julio Rodriguez
15,Yordan Alvarez
16,Paul Skenes
17,Tarik Skubal
18,Jackson Chourio
19,Bryce Harper
20,Jarren Duran
21,Zack Wheeler
22,Trea Turner
23,Jackson Merrill
24,Freddie Freeman
25,Jazz Chisholm Jr.
26,Ketel Marte
27,Austin Riley
28,Logan Gilbert
29,Matt Olson
30,Garrett Crochet
31,Manny Machado
32,Rafael Devers
33,Chris Sale
34,Corey Seager
35,Pete Alonso
36,Cole Ragans
37,Ronald Acuna Jr.
38,Corbin Burnes
39,Dylan Cease
40,Blake Snell
41,William Contreras
42,Oneil Cruz
43,Ozzie Albies
44,Emmanuel Clase
45,Jose Altuve
46,Michael Harris II
47,Wyatt Langford
48,Teoscar Hernandez
49,Yoshinobu Yamamoto
50,CJ Abrams
51,Brent Rooker
52,Kyle Schwarber
53,James Wood
54,Devin Williams
55,Framber Valdez
56,Michael King
57,Josh Hader
58,Mason Miller
59,Edwin Diaz
60,Jacob deGrom
61,Marcell Ozuna
62,Pablo Lopez
63,Lawrence Butler
64,Shota Imanaga
65,Ryan Helsley
66,Marcus Semien
67,Anthony Santander
68,Raisel Iglesias
69,Adley Rutschman
70,Logan Webb
71,Tyler Glasnow
72,Brenton Doyle
73,Aaron Nola
74,Josh Naylor
75,Bryce Miller
76,Cody Bellinger
77,Junior Caminero
78,Christian Walker
79,Alex Bregman
80,Spencer Schwellenbach
81,Bryan Reynolds
82,Willy Adames
83,Tanner Bibee
84,Max Fried
85,Jordan Westburg
86,Seiya Suzuki
87,Luis Robert Jr.
88,Luis Castillo
89,Andres Munoz
90,Matt McLain
91,Freddy Peralta
92,Spencer Strider
93,Bailey Ober
94,Hunter Greene
95,Mark Vientos
96,Joe Ryan
97,Hunter Brown
98,Jhoan Duran
99,George Kirby
100,Riley Greene
101,Bo Bichette
102,Felix Bautista
103,Salvador Perez
104,Triston Casas
105,Zac Gallen
106,Ryan Walker
107,Sonny Gray
108,Yainer Diaz
109,Mike Trout
110,Willson Contreras
111,Cal Raleigh
112,Jake Burger
113,Justin Steele
114,Roki Sasaki
115,Christian Yelich
116,Vinnie Pasquantino
117,Randy Arozarena
118,Ian Happ
119,Matt Chapman
120,Will Smith
121,Dylan Crews
122,Ezequiel Tovar
123,Jack Flaherty
124,Steven Kwan
125,Bryan Woo
126,Sandy Alcantara
127,Tanner Scott
128,Adolis Garcia
129,Carlos Rodon
130,Anthony Volpe
131,Robert Suarez
132,Jasson Dominguez
133,Cristopher Sanchez
134,Pete Crow-Armstrong
135,Alec Bohm
136,Xander Bogaerts
137,Shea Langeliers
138,Brice Turang
139,Kodai Senga
140,Robbie Ray
141,Luis Garcia Jr.
142,Josh Lowe
143,Kevin Gausman
144,Xavier Edwards
145,Colton Cowser
146,Isaac Paredes
147,Nick Castellanos
148,Paul Goldschmidt
149,Masyn Winn
150,Brandon Nimmo
151,Eugenio Suarez
152,Jeremy Pena
153,Jurickson Profar
154,Jeff Hoffman
155,Seth Lugo
156,Reynaldo Lopez
157,J.T. Realmuto
158,Dansby Swanson
159,Logan O'Hoppe
160,Yusei Kikuchi
161,Trevor Megill
162,Taylor Ward
163,Andres Gimenez
164,Spencer Steer
165,Ryan Pepiot
166,Lane Thomas
167,Tyler O'Neill
168,Zach Eflin
169,Bryson Stott
170,Pete Fairbanks
171,Nathan Eovaldi
172,Nick Pivetta
173,Brandon Pfaadt
174,Heliot Ramos
175,Royce Lewis
176,Zach Neto
177,Luis Arraez
178,Yandy Diaz
179,Nico Hoerner
180,Austin Wells
181,Kenley Jansen
182,Jordan Romano
183,Nolan Arenado
184,Kerry Carpenter
185,Lourdes Gurriel Jr.
186,Michael Toglia
187,Cedric Mullins II
188,Shane McClanahan
189,Jorge Soler
190,Brandon Lowe
191,Tommy Edman
192,Carlos Correa
193,Victor Robles
194,Josh Jung
195,Ryan Mountcastle
196,Gavin Williams
197,MacKenzie Gore
198,Taj Bradley
199,George Springer
200,Luis Rengifo
201,Jonathan India
202,Tanner Houck
203,Spencer Arrighetti
204,Byron Buxton
205,Jackson Holliday
206,Clay Holmes
207,Gleyber Torres
208,David Bednar
209,Jake McCarthy
210,Ryan Pressly
211,Shane Baz
212,Grayson Rodriguez
213,Carlos Estevez
214,Gabriel Moreno
215,Christian Encarnacion-Strand
216,Jose Berrios
217,Jung Hoo Lee
218,Jesus Luzardo
219,Ceddanne Rafaela
220,Rhys Hoskins
221,Nick Lodolo
222,Nathaniel Lowe
223,Alec Burleson
224,Ronel Blanco
225,Lucas Erceg
226,TJ Friedl
227,Matt Shaw
228,Michael Busch
229,Justin Martinez
230,Kyle Finnegan
231,Bowden Francis
232,Max Muncy
233,Maikel Garcia
234,JJ Bleday
235,Tyler Stephenson
236,Trevor Story
237,Lars Nootbaar
238,Sean Manaea
239,Brandon Woodruff
240,Ryan McMahon
241,Colt Keith
242,Reese Olson
243,Kristian Campbell
244,Ivan Herrera
245,Nolan Jones
246,Walker Buehler
247,Matt Wallner
248,Keibert Ruiz
249,Clarke Schmidt
250,Garrett Mitchell
251,Ryan Jeffers
252,Michael Wacha
253,Jared Jones
254,Tyler Fitzgerald
255,Jordan Walker
256,Joc Pederson
257,Jeffrey Springs
258,Jake Cronenworth
259,Brendan Donovan
260,Kirby Yates
261,Aroldis Chapman
262,Tyler Soderstrom
263,Alexis Diaz
264,Andrew Vaughn
265,Willi Castro
266,Ranger Suarez
267,Drew Rasmussen
268,Michael Conforto
269,Connor Norby
270,Max Scherzer
271,Jackson Jobe
272,A.J. Puk
273,Cam Smith
274,Roman Anthony
275,Francisco Alvarez
276,Merrill Kelly
277,Luis Severino
278,Nolan Schanuel
279,Evan Carter
280,Christopher Morel
281,Yu Darvish
282,Wilyer Abreu
283,Nestor Cortes Jr.
284,Mitch Keller
285,Joey Ortiz
286,Connor Wong
287,Ben Joyce
288,Grant Holmes
289,Zack Gelof
290,Daulton Varsho
291,Jesus Sanchez
292,Luke Raley
293,Jo Adell
294,Josh Bell
295,Parker Meadows
296,Jacob Young
297,Kutter Crawford
298,Thairo Estrada
299,Kumar Rocker
300,Alejandro Kirk
301,Joey Bart
302,Sean Murphy
303,Kyle Manzardo
304,Jason Foley
305,Brandon Marsh
306,Jeimer Candelario
307,Chris Martin
308,Victor Scott
309,Ha-Seong Kim
310,Dustin May
311,Bo Naylor
312,Justin Verlander
313,Chris Bassitt
314,Liam Hendriks
315,Porter Hodge
316,Jose Soriano
317,Griffin Jax
318,Spencer Torkelson
319,Matthew Boyd
320,Erick Fedde
321,Jonathan Aranda
322,Nick Martinez
323,Trevor Larnach
324,Max Meyer
325,Patrick Bailey
326,Edwin Uceta
327,Brayan Bello
328,Jason Adam
329,Danny Jansen
330,Calvin Faucher
331,Jacob Wilson
332,David Peterson
333,Orion Kerkering
334,Sal Frelick
335,Otto Lopez
336,Carlos Santana
337,Jameson Taillon
338,Luis Gil
339,Brady Singer
340,Ke'Bryan Hayes
341,Heston Kjerstad
342,Luke Weaver
343,Tomoyuki Sugano
344,Ryan O'Hearn
345,Gavin Lux
346,Jonah Heim
347,Michael Massey
348,Andy Pages
349,Aaron Civale
350,Max Kepler
351,Bubba Chandler
352,Matt Vierling
353,Hunter Goodman
354,Cade Smith
355,Shane Bieber
356,Eduardo Rodriguez
357,Hayden Birdsong
358,Pavin Smith
359,Ryan Weathers
360,Landen Roupp
361,Spencer Horwitz
362,Tobias Myers
363,Camilo Doval
364,Austin Hays
365,David Festa
366,Masataka Yoshida
367,Jose Caballero
368,Giancarlo Stanton
369,Nolan Gorman
370,Kris Bubic
371,Jose Miranda
372,Cody Bradford
373,Casey Mize
374,Jonny DeLuca
375,DJ Herz
376,Will Warren
377,Reid Detmers
378,Isiah Kiner-Falefa
379,Jorge Polanco
380,Charlie Morton
381,LaMonte Wade Jr.
382,Miguel Amaya
383,Ben Brown
384,Drake Baldwin
385,Jake Fraley
386,Tylor Megill
387,Bryan Abreu
388,Chas McCormick
389,Jhonkensy Noel
390,David Hamilton
391,Jesse Winker
392,Tyler Holton
393,Michael Kopech
394,Jeremiah Estrada
395,J.D. Martinez
396,MJ Melendez
397,Starling Marte
398,Freddy Fermin
399,Ben Rice
400,Beau Brieske
401,Nick Gonzales
402,Zack Littell
403,Andrew Benintendi
404,Tommy Pham
405,Chad Green
406,Luis L. Ortiz
407,Dylan Moore
408,Sean Burke
409,Matt Strahm
410,Justin Slaten
411,Jordan Beck
412,Lucas Giolito
413,Zebby Matthews
414,AJ Smith-Shawver
415,Tyler Mahle
416,Leody Taveras
417,Ernie Clement
418,Josh Smith
419,Dean Kremer
420,Miguel Vargas
421,Blake Treinen
422,Hayden Wesneski
423,Robert Garcia
424,Brooks Lee
425,Jose Siri
426,Michael Soroka
427,Edward Cabrera
428,Cade Povich
429,Jose Alvarado
430,Ty France
431,Kyle Harrison
432,Luisangel Acuna
433,Anthony Rizzo
434,Jack Leiter
435,Jesus Tinoco
436,Osvaldo Bido
437,Endy Rodriguez
438,Jordan Lawlar
439,Travis d'Arnaud
440,J.P. Crawford
441,Seth Halvorsen
442,Geraldo Perdomo
443,Tony Santillan
444,Alan Roden
445,Jeff McNeil
446,Alex Vesia
447,Kevin Ginkel
448,Jordan Hicks
449,Evan Phillips
450,Mike Yastrzemski
451,Noelvi Marte
452,Luke Jackson
453,Kris Bryant
454,Orlando Arcia
455,Luis F. Castillo
456,Frankie Montas
457,Kyle Higashioka
458,Coby Mayo
459,Dylan Lee
460,Keegan Akin
461,JP Sears
462,Joel Payamps
463,Richard Fitts
464,Jake Irvin
465,Mike Clevinger
466,Griffin Canning
467,Mitch Garver
468,Brayan Rocchio
469,Jake Meyers
470,Brett Baty
471,Taylor Rogers
472,Caleb Durbin
473,Michael McGreevy
474,Andrew McCutchen
475,Jon Berti
476,Bryan Hudson
478,Landon Knack
479,James Outman
480,Alex Cobb
481,Danny Coulombe
482,Andrew Painter
483,Andrew Heaney
484,A.J. Minter
485,Marcus Stroman
486,Garrett Whitlock
487,Aaron Bummer
488,Paul DeJong
489,Jose Quintana
490,JoJo Romero
491,Tyler Anderson
492,Trent Thornton
493,Joey Cantillo
494,Will Vest
495,Hyeseong Kim
496,Tyler Black
497,Seranthony Dominguez
498,Hunter Renfroe
499,Brandon Drury
500,Graham Ashcraft
501,Jose Leclerc
502,Bryan De La Cruz
503,Simeon Woods Richardson
504,Quinn Mathews
505,Ben Lively
506,Eury Perez
508,Jared Koenig
509,Andrew Abbott
510,Tyler Kinley
512,Christian Moore
513,Yimi Garcia
514,Tim Herrin
515,Kyle Gibson
516,Chris Paddack
517,Scott Barlow
518,Mitchell Parker
519,Chandler Simpson
520,Hector Neris
521,Zac Veen
522,Hunter Harvey
523,Tyler Freeman
524,Brant Hurter
525,Cole Sands
526,Ian Hamilton
527,Enrique Hernandez
528,Garrett Cleavinger
529,Justin Turner
530,Ryne Nelson
531,Dedniel Nunez
532,Jose Butto
533,Kevin Kelly
534,Ryan Bliss
535,Fernando Cruz
536,Jonah Bride
537,Mark Leiter Jr.
538,Yuki Matsui
539,Kenta Maeda
540,Gregory Santos
541,Kyle Isbel
542,Jacob Stallings
543,Jose Abreu
544,Curtis Mead
545,Trevor Williams
546,David Robertson
547,Tim Anderson
548,Erik Miller
549,Miles Mikolas
550,Victor Vodnik
551,Harrison Bader
552,Rhett Lowder
553,Adrian Morejon
554,Jake Rogers
555,Joe Musgrove
556,Gavin Sheets
557,Ryan Brasier
558,Sean Bouchard
559,Reed Garrett
560,Joe Mantiply
561,Matthew Liberatore
